KID,Mass,logg,Teff,Amplitude
892376,0.4704,4.47,3813,13.84
1569863,0.4688,4.45,3809,33.94
2557669,0.4585,4.36,3782,37.7
3646734,0.4372,4.47,3726,25.89
3735772,0.4414,4.48,3737,85.71
4077867,0.4402,4.49,3734,11.53
5341666,0.4858,4.23,3853,16.8
5941226,0.4727,4.39,3819,8.14
5951140,0.4312,4.5,3710,24.42
6060845,0.4399,4.56,3733,8.4
6116129,0.4854,4.42,3852,10.72
6936046,0.5041,4.33,3900,8.0
7095218,0.4263,4.41,3697,60.61
7531136,0.4731,4.51,3820,25.63
7686474,0.5037,4.58,3899,12.36
8046690,0.4723,4.73,3818,8.23
8075991,0.5091,4.42,3913,10.0
8098228,0.4796,4.38,3837,5.2
8672278,0.5434,4.5,4000,18.1
8737443,0.4301,4.38,3707,12.62
9268481,0.3697,4.14,3543,8.14
9590249,0.5201,4.4,3941,9.37
9631548,0.4014,4.25,3630,7.5
9705079,0.3722,4.14,3550,11.15
10322287,0.4842,4.5,3849,2.1
10363074,0.4316,4.53,3711,13.6
10388283,0.4062,4.24,3643,8.6
10518758,0.5115,4.38,3919,6.4
10677397,0.4125,4.12,3660,64.92
10790838,0.4715,4.47,3816,22.54
10793757,0.4229,4.48,3688,5.7
11085850,0.5386,4.5,3988,3.2
11498106,0.4448,4.55,3746,10.47
11855334,0.3715,4.22,3548,13.4
11876220,0.4218,4.53,3685,12.46
12105694,0.5025,4.41,3896,15.07
12203082,0.5099,4.56,3915,14.67
12356535,0.4669,4.63,3804,7.45
12689927,0.4854,4.64,3852,3.39
