KID,Mass,logg,Teff,Amplitude
9582157,0.5158,4.49,3930,8.23
9582827,0.3791,4.2,3569,2.96
9589235,0.4095,4.43,3652,3.59
9595239,0.5284,4.57,3962,2.54
9597704,0.4199,4.36,3680,4.32
9601825,0.5217,4.56,3945,2.34
9605729,0.5351,4.52,3979,4.73
9606758,0.5048,4.87,3902,3.0
9636614,0.5099,4.42,3915,3.44
9644914,0.3784,4.24,3567,8.19
9652284,0.5072,4.46,3908,1.61
9652694,0.5244,4.68,3952,3.3
9653430,0.4248,4.3,3693,3.56
9654411,0.5304,4.38,3967,2.19
9661885,0.5272,4.33,3959,2.78
9666798,0.5292,4.53,3964,1.91
9691776,0.4684,4.82,3808,5.49
9693806,0.3073,4.62,3364,2.12
9697184,0.4912,4.35,3867,6.62
9712457,0.4267,4.46,3698,5.8
9713191,0.5021,4.66,3895,9.61
9715236,0.3834,4.34,3581,5.95
9727761,0.515,4.45,3928,4.15
9753017,0.3715,4.12,3548,11.89
9758864,0.3984,4.5,3622,4.56
9760292,0.4589,4.63,3783,2.81
9763786,0.4106,4.32,3655,8.7
9764341,0.5414,4.6,3995,3.49
9772531,0.4928,4.55,3871,3.9
9776935,0.4103,4.59,3654,5.5
9788227,0.4761,4.73,3828,4.66
9791400,0.3911,4.32,3602,3.28
9818472,0.4346,4.6,3719,5.97
9825492,0.4971,4.63,3882,3.53
9826728,0.364,4.06,3527,3.26
9833329,0.4731,4.72,3820,4.62
9834661,0.4777,4.55,3832,3.79
9838213,0.515,4.58,3928,6.51
9899765,0.4327,4.57,3714,8.36
9899900,0.4103,4.63,3654,7.92
9907450,0.4327,4.51,3714,4.01
9946427,0.5111,4.69,3918,3.04
9946811,0.4808,4.58,3840,4.77
9964637,0.5378,4.6,3986,4.01
9992786,0.3668,4.12,3535,6.61
9994100,0.5209,4.57,3943,2.16
10002261,0.0,-inf,0,4.92
10004407,0.3755,4.19,3559,3.22
10018202,0.5355,4.51,3980,4.27
10018866,0.5197,4.56,3940,5.09
10063343,0.5339,4.43,3976,158.19
10063466,0.4047,4.26,3639,3.18
10082058,0.5056,4.37,3904,5.8
10082611,0.5084,4.54,3911,2.45
10095901,0.5076,4.49,3909,3.23
10118339,0.4158,4.52,3669,4.83
10120920,0.4334,4.78,3716,3.06
10121004,0.475,4.56,3825,11.17
10124585,0.3937,4.67,3609,1.9
10145950,0.4365,4.59,3724,8.82
10158029,0.4256,4.38,3695,4.96
10185748,0.4323,4.6,3713,5.27
10186824,0.3668,4.08,3535,3.68
10187248,0.4623,4.62,3792,7.22
10190314,0.5331,4.51,3974,2.86
10195818,0.4376,4.68,3727,2.59
10200187,0.4207,4.59,3682,3.88
10206793,0.4084,4.35,3649,5.1
10220322,0.5256,4.45,3955,2.83
10252023,0.5107,4.47,3917,6.01
10258126,0.3565,4.02,3506,13.83
10258179,0.0,-inf,0,6.21
10258346,0.4459,4.58,3749,2.82
10263037,0.4982,4.59,3885,6.63
10266895,0.4316,4.7,3711,3.4
10274090,0.36,4.08,3516,3.03
10296031,0.4084,4.29,3649,7.36
10296831,0.3776,4.25,3565,5.24
10317996,0.492,4.66,3869,3.88
10321766,0.4121,4.15,3659,5.02
10322878,0.4331,4.56,3715,6.65
10331532,0.517,4.54,3933,5.03
10332839,0.4742,4.83,3823,2.87
10333486,0.4842,4.64,3849,4.51
10340598,0.4846,4.56,3850,3.06
10351951,0.4155,4.47,3668,6.45
10382952,0.5186,4.62,3937,5.18
