KID,Mass,logg,Teff,Amplitude
12007066,0.4196,4.49,3679,4.31
12011635,0.4777,4.5,3832,2.78
12012281,0.4301,4.44,3707,4.58
12013242,0.4173,4.6,3673,8.86
12013322,0.4846,4.65,3850,8.94
12018926,0.4448,4.63,3746,5.4
12055805,0.4391,4.59,3731,4.05
12062354,0.4893,4.7,3862,6.22
12104915,0.5331,4.59,3974,9.15
12110941,0.5201,4.7,3941,4.76
12111492,0.5205,4.71,3942,5.7
12116009,0.4854,4.59,3852,15.83
12120764,0.5154,4.8,3929,7.29
12121403,0.4854,4.54,3852,4.02
12154913,0.4092,4.57,3651,4.59
12157134,0.4103,4.52,3654,12.55
12204572,0.4842,4.58,3849,2.26
12204700,0.5201,4.54,3941,3.48
12204886,0.543,4.57,3999,3.5
12208128,0.5315,4.68,3970,3.86
12217622,0.4881,4.72,3859,4.05
12218211,0.5091,4.63,3913,5.11
12218539,0.5021,4.67,3895,2.17
12218994,0.4132,4.45,3662,3.68
12251446,0.4229,4.29,3688,1.98
12251483,0.4211,4.22,3683,4.39
12252040,0.4669,4.51,3804,3.21
12256580,0.4746,4.53,3824,5.8
12257167,0.4429,4.59,3741,3.04
12257256,0.4731,4.43,3820,4.4
12305237,0.3622,4.1,3522,6.57
12306384,0.4229,4.21,3688,8.45
12314163,0.4301,4.7,3707,5.9
12316768,0.4577,4.65,3780,4.16
12350962,0.4924,4.58,3870,4.63
12352520,0.5111,4.88,3918,5.21
12354053,0.4497,4.63,3759,7.46
12366450,0.3904,4.26,3600,4.86
12366989,0.4018,4.54,3631,8.1
12405321,0.4688,4.84,3809,7.06
12418737,0.4885,4.76,3860,4.05
12456136,0.4181,4.44,3675,3.07
12470376,0.4731,4.46,3820,5.08
12505250,0.4181,4.56,3675,6.2
12505793,0.4955,4.62,3878,10.28
12506640,0.3766,4.12,3562,5.15
12506985,0.4916,4.66,3868,5.93
12508767,0.3558,4.03,3504,8.28
12509131,0.5041,4.53,3900,4.9
12552699,0.4084,4.38,3649,7.23
12552869,0.4854,4.56,3852,5.0
12598901,0.4222,4.52,3686,3.91
12600640,0.5119,4.62,3920,2.82
12601861,0.5186,4.75,3937,5.59
12646508,0.4673,4.61,3805,6.2
12734617,0.5135,4.58,3924,4.75
