KID,Mass,logg,Teff,Amplitude
1026895,0.5343,4.53,3977,8.99
1160867,0.4474,4.57,3753,8.29
1431599,0.5068,4.5,3907,12.68
1576043,0.4889,4.52,3861,7.76
2010137,0.4881,4.48,3859,7.01
2011870,0.4638,4.46,3796,10.87
2019352,0.4331,4.5,3715,49.33
2159700,0.4222,4.61,3686,18.87
2167183,0.4796,4.47,3837,14.18
2309524,0.4199,4.57,3680,12.61
2422890,0.4471,4.59,3752,20.89
2424191,0.5154,4.44,3929,11.57
2450412,0.3856,4.65,3587,20.0
2571093,0.4084,4.21,3649,19.85
2578811,0.3668,4.64,3535,17.76
2847114,0.5095,4.51,3914,5.33
2853469,0.4353,4.55,3721,18.41
3110253,0.438,4.41,3728,48.92
3117402,0.4368,4.41,3725,26.82
3218009,0.4338,4.53,3717,28.07
3222519,0.441,4.58,3736,10.29
3431143,0.4368,4.58,3725,69.65
3633335,0.4241,4.59,3691,10.59
3735699,0.5248,4.53,3953,7.89
3839583,0.4932,4.43,3872,12.72
3852327,0.4196,4.57,3679,27.61
3936736,0.4585,4.54,3782,9.68
3956721,0.4773,4.45,3831,16.72
3964632,0.5142,4.44,3926,6.48
3964647,0.4338,4.46,3717,17.53
4058998,0.4421,4.53,3739,20.31
4060593,0.4939,4.29,3874,13.81
4243486,0.4971,4.55,3882,9.6
4252080,0.5197,4.43,3940,7.56
4269145,0.5099,4.47,3915,11.16
4356215,0.4509,4.5,3762,22.06
4364896,0.4357,4.57,3722,17.07
4373485,0.506,4.44,3905,14.99
4376841,0.4558,4.52,3775,12.66
4383163,0.4585,4.52,3782,9.79
4385594,0.4738,4.5,3822,20.94
4579064,0.4383,4.45,3729,25.33
4656011,0.4715,4.43,3816,18.75
4663975,0.5135,4.43,3924,8.7
4751876,0.4357,4.43,3722,13.59
4819766,0.4761,4.44,3828,30.24
4903588,0.4372,4.49,3726,14.11
4935977,0.4436,4.59,3743,22.77
4939265,0.4581,4.46,3781,41.23
5181839,0.4425,4.43,3740,13.3
5253014,0.5142,4.43,3926,12.56
5351659,0.4226,4.4,3687,19.21
5444972,0.543,4.28,3999,7.06
5596701,0.4448,4.48,3746,35.74
5696108,0.4289,4.3,3704,64.91
5696568,0.4414,4.55,3737,66.98
5784204,0.4395,4.58,3732,17.34
5795961,0.438,4.55,3728,14.12
5967053,0.4372,4.46,3726,21.01
6516783,0.4368,4.49,3725,47.68
6679286,0.4912,4.5,3867,29.65
6679464,0.4738,4.42,3822,14.99
6689302,0.4478,4.45,3754,23.57
6850118,0.4692,4.49,3810,29.66
6956701,0.4372,4.5,3726,13.77
7034097,0.4516,4.44,3764,27.08
7176070,0.5256,4.42,3955,6.55
7362849,0.4368,4.46,3725,26.18
7446955,0.4342,4.53,3718,30.46
7505113,0.4263,4.49,3697,95.1
7534552,0.4387,4.47,3730,31.34
7748051,0.4455,4.55,3748,23.76
7757271,0.5006,4.43,3891,10.19
7799575,0.5296,4.42,3965,17.04
7800922,0.4436,4.47,3743,15.2
7812264,0.438,4.57,3728,34.72
7830341,0.4963,4.54,3880,33.19
7866904,0.5213,4.44,3944,9.93
7879456,0.4158,4.49,3669,43.34
7898731,0.4214,4.52,3684,25.29
7953589,0.4365,4.53,3724,26.24
8105550,0.4399,4.39,3733,70.58
8344414,0.4554,4.45,3774,98.52
8351810,0.4414,4.46,3737,87.1
8352528,0.5107,4.5,3917,10.2
8559125,0.4846,4.48,3850,23.37
8818802,0.4746,4.44,3824,14.82
8831759,0.3547,4.66,3501,19.81
8866833,0.48,4.5,3838,23.29
9143808,0.411,4.28,3656,45.74
9143855,0.4955,4.43,3878,25.99
9210141,0.5225,4.43,3947,10.93
9292238,0.4361,4.5,3723,13.0
9326578,0.4827,4.44,3845,27.26
9412725,0.4704,4.43,3813,16.73
9527740,0.4493,4.54,3758,32.31
9603833,0.5068,4.48,3907,105.7
9635876,0.4539,4.54,3770,19.76
9642131,0.4417,4.48,3738,32.92
9896545,0.4278,4.49,3701,101.35
10026749,0.5225,4.49,3947,12.71
10094937,0.4433,4.58,3742,8.79
10163983,0.3558,4.66,3504,18.16
10416718,0.4924,4.44,3870,20.57
10853654,0.4297,4.51,3706,20.66
10863940,0.3722,4.13,3550,52.98
10866983,0.4512,4.44,3763,54.98
11091452,0.4316,4.49,3711,27.83
11099165,0.487,4.51,3856,17.93
11138484,0.4773,4.51,3831,16.82
11393580,0.4827,4.45,3845,25.47
11600299,0.3802,4.13,3572,133.08
11717514,0.4372,4.57,3726,27.79
11717942,0.4406,4.29,3735,23.27
11972798,0.4365,4.48,3724,16.95
12004872,0.4222,4.44,3686,21.67
12010862,0.4151,4.57,3667,32.84
12024065,0.4414,4.53,3737,21.03
12071521,0.5166,4.44,3932,10.88
12155015,0.475,4.52,3825,20.22
12300545,0.5123,4.54,3921,5.86
